INSTITUTION NAME,AGE,INITIAL HIRE DATE,JOB CATEGORY,EMPLOYEE ANNUAL BASE SALARY,EMPLOYEE HOME DEPARTMENT,PRIMARY WORKING TITLE
ASU,27,"NOV 17, 2020",Head Coach - Women's Tennis,50000.00,Athletics Office,Women's Tennis Coach
ASU,44,"FEB 03, 2020",Secretary,33749.00,University Recreation,Administrative Support Assoc
ASU,54,"SEP 13, 2010",Administrative Assistant,67058.00,Chancellor's Office,University Program Specialist
ASU,38,"AUG 21, 2018",Assistant Professor,65000.00,Human Dev & Psych Counsel,Professor
ASU,51,"JUL 01, 2003",Professor (Primary) and Department Chair/Head,113908.00,Government & Justice Studies,Professor/Interim Chair
ASU,33,"AUG 01, 2016",Lecturer,30000.00,Art,Adjunct Instructor
ASU,41,"AUG 22, 2017",Assistant Professor,92000.00,Economics,Assistant Professor
ASU,42,"JAN 12, 2015",Lecturer,54500.00,Chemistry & Fermentation Sciences,Professor
ASU,63,"SEP 10, 1987",Lecturer,35808.00,Applied Design,Lecturer
ASU,38,"FEB 18, 2019",Chief Student Financial Aid Officer,104000.00,Financial Aid,"Sr Dir, Fin Aid & Univ Schlrs"
ASU,33,"AUG 22, 2017",Assistant Professor,69000.00,Geological & Environmental Sciences,Assistant Professor
ASU,35,"JUL 15, 2019",Security Guard,31200.00,University Police,Property Security Officer
ASU,57,"AUG 16, 1993",Professor,88530.00,Mathematical Sciences,Professor
ASU,50,"AUG 24, 2004",Lecturer,42632.00,Mathematical Sciences,Senior Lecturer
ASU,44,"NOV 02, 2020",Custodian / Housekeeper,31200.00,Environmental Services,Building & Environmental Tech
ASU,49,"APR 27, 2009",Department Assistant,37621.00,International Edu & Development,Accounting Tech
ASU,53,"SEP 16, 2019",Custodian / Housekeeper,31200.00,Environmental Services,Building & Environmental Tech
ASU,31,"AUG 21, 2018",Assistant Professor,59500.00,Sociology,Assist Prof/Graduate Prog Dir
ASU,26,"JUL 20, 2017",Assistant/Associate Coach-Volleyball,38000.00,Athletics Office,Asst Volleyball Coach
ASU,41,"AUG 21, 2018",Lecturer,64800.00,Biology,Lecturer/Dir Gen Bio Prog
ASU,50,"AUG 16, 2016",Lecturer,63500.00,Nutrition & Health Care Mgt.,Lecturer
ASU,57,"AUG 15, 1997",Professor,93500.00,Social Work,Professor
ASU,67,"AUG 16, 1993",Professor,83782.00,Psychology,Professor
ASU,40,"JUN 22, 2008",Mental Health Professional,58750.00,Wellness and Prevention Services,"Coord, Alcohol/Other Drug Svc"
ASU,37,"AUG 01, 2015",Assistant Coach - Baseball,65642.00,Athletics Office,Assistant Baseball Coach
ASU,42,"JAN 13, 2003",Associate Professor,61905.00,Theatre & Dance,Associate Professor
ASU,67,"AUG 17, 1992",Professor,76988.00,English,Professor
ASU,51,"AUG 26, 2008",Associate Professor,60231.00,School Of Music,Associate Professor
ASU,46,"AUG 16, 1999",Lecturer,51500.00,Health and Exercise Science (HES),Senior Lecturer
ASU,44,"AUG 24, 2010",Lecturer,50718.00,General Education,Senior Lecturer
ASU,67,"AUG 17, 1987",Professor,86423.00,Communication,Professor
ASU,50,"APR 09, 1996",Grounds / Landscape Worker,31200.00,Landscape Services,Agric/Horticultural Specialist
ASU,35,"JUL 12, 2012","Business Operations Professional, Ticket Mgr",47224.00,Holmes Convocation Center,University Program Specialist
ASU,51,"JUL 01, 2004",Associate Professor,79547.00,Chemistry & Fermentation Sciences,Associate Professor
ASU,58,"AUG 11, 2014",Chief Human Resources Officer,149086.00,The Office of Human Resources,Director of Human Resources
ASU,35,"JUN 01, 2004","Academic Services Professional, Academic Evaluator",50885.00,Office of Disability Resources,Asst Dir. Alt. Testing
ASU,44,"AUG 24, 2010",Professor (Primary) and Department Chair/Head,168377.00,Accounting,Professor/Chairperson
ASU,35,"AUG 25, 2009",Lecturer,38381.00,Mathematical Sciences,Lecturer
ASU,60,"AUG 09, 2010",Administrative Assistant,33922.00,Controllers Office,Administrative Support Assoc
ASU,38,"JUL 01, 2019","IT Client Support Professional, Business Analyst",60000.00,Business Systems,IT Business Systems Analyst I
ASU,40,"FEB 14, 2005",Police / Public Safety Supervisor,59045.00,University Police,Pubic Safety Supervisor MR
ASU,40,"JUL 17, 2017",Food Prep Worker,31200.00,Book Rental,Food Service Technician
ASU,35,"AUG 17, 2020",Library Paraprofessional,36663.00,Library,University Library Technician
ASU,60,"DEC 03, 2018",Chief Campus Corporate/Foundation Relations Administrator,135000.00,Chancellor's Office,EPA Admin Directors-SAAO2 OC30
ASU,40,"AUG 20, 2013",Associate Professor,65118.00,History,Assistant Professor
ASU,44,"JAN 05, 2005",Administrative Assistant,43025.00,Student Affairs - Vice Chancellor,University Program Associate
ASU,51,"JAN 14, 2002","Director, Subdivision/Unit/Program AD",106632.00,University Sustainability,Chief Sustainability Officer
ASU,40,"AUG 19, 2014",Lecturer,35858.00,English,Lecturer
ASU,63,"AUG 15, 1991",Professor,88804.00,Psychology,Professor
ASU,63,"AUG 15, 2000",Professor,99458.00,English,Professor/Editor of Ap Journal
ASU,55,"SEP 19, 2016","Institutional Policy / Compliance Professional, Athletics",76000.00,Athletics Office,Asst to Chancellor Athletics
ASU,54,"JUL 11, 2019","Development / Fundraising Professional, Asst/Assoc Athletic Director",85000.00,Yosef Club,Assoc Athletic Dir/Development
ASU,50,"FEB 15, 2010","Administrative / Office / Clerical Support Staff, Other",46573.00,Student Conduct,University Program Associate
ASU,34,"SEP 13, 2007","Academic Services Professional, Asst/Assoc Athletic Director",55000.00,Athletics Office,Dir of Student-Ath Lead & Dev
ASU,58,"APR 13, 1998",Administrative Assistant,35149.00,Associate VC Facilities Management,Administrative Support Spec
ASU,61,"AUG 22, 2006",Lecturer,45794.00,Biology,Senior Lecturer
ASU,55,"JUL 01, 2003",Professor,69352.00,"Languages, Literatures & Cultures",Associate Professor
ASU,53,"AUG 19, 2013","Clerk, Records",39871.00,College of Health Sciences,Administrative Support Spec
ASU,66,"AUG 16, 1999",Professor,77956.00,School Of Music,Professor
ASU,47,"AUG 19, 2019",Professor,35000.00,Government & Justice Studies,Visiting Adjunct Professor
ASU,47,"JUL 15, 2019",Chief Development / Advancement Officer,251250.00,University Advancement-VC,"Vice Chan, Univ Adv"
ASU,23,"OCT 12, 2020",Accounting Assistant,37600.00,Assoc VC Adv Services/Finance,Accounting Technician
ASU,25,"AUG 25, 2015",General Maintenance Lead/Supervisor,31200.00,Campus Dining Park Place PM,Food Service Technician
ASU,37,"SEP 24, 2001",Custodian / Housekeeper,31846.00,Environmental Services,Building & Environmental Tech
ASU,61,"MAY 16, 2006",Locksmith (Journeyman),42000.00,Lockshop,Facility Maint Tech-Bldg Trade
ASU,44,"JUL 24, 2017",Chief Enrollment Services Officer,157000.00,AVC for Enrollment Management,Assoc VC for Enrollment Mgmt
ASU,39,"APR 01, 2004",Lecturer,45000.00,Mathematical Sciences,Professor/Prog. Director
ASU,62,"JUL 01, 2003",Associate Professor,95353.00,Computer Science,Associate Professor
ASU,46,"AUG 21, 2007",Professor,68843.00,Philosophy & Religion,Professor
ASU,66,"JUL 01, 2016",Professor (Primary) and Department Chair/Head,127500.00,Nutrition & Health Care Mgt.,Professor/Chair
ASU,30,"JUL 24, 2019",Media / Public Relations Professional,50000.00,Special Projects,Broadcast & Emerg Media Spec
ASU,50,"AUG 15, 1994",IT Client Support Professional,70158.00,Cratis D. Williams Sch of Grad Stds,Bus & Tech Appl Analyst
ASU,38,"AUG 16, 2002",Department Assistant,54000.00,Sm Bus Tech Dev Center,University Program Specialist
ASU,44,"NOV 01, 2016",Foodservice Lead/Supervisor,52154.00,Catering,Food Service Supervisor
ASU,35,"AUG 22, 2017",Assistant Professor,63000.00,Chemistry & Fermentation Sciences,Assistant Professor
ASU,67,"AUG 15, 2001",Professor,118111.00,English,McFarlane Distinguished Prof
ASU,50,"AUG 25, 2009",Professor,88690.00,Health and Exercise Science (HES),Professor/Dir Stdnt Research
ASU,34,"JAN 15, 2008",Administrative Assistant,31200.00,Student Conduct,Administrative Support Assoc
ASU,67,"JAN 15, 1986",IT Client Support Professional,66648.00,Information Technology Service,Tech Support Specialist
ASU,52,"SEP 22, 2008",General Maintenance Worker,39147.00,Student Engagement & Leadership,Facility Main Mech Trades
ASU,41,"NOV 05, 2018",Communications Specialist,63500.00,University Communications,Pub Communication Specialist
ASU,30,"AUG 27, 2019",Communications Specialist,35000.00,Athletics Office,Pub Communication Specialist
ASU,54,"AUG 16, 1993",Professor,87855.00,Psychology,Professor
ASU,31,"OCT 16, 2017",Custodian / Housekeeper,31846.00,Environmental Services,Building & Environmental Tech
ASU,46,"JUL 26, 2010",Electrician (Journeyman),43964.00,University Recreation,Facility Main Tech - Mech Trad
ASU,44,"AUG 19, 2019",Administrative Assistant,40498.00,University Budget,Accounting Technician
ASU,46,"JAN 07, 2019",Administrative Assistant,31200.00,University Housing-Residence Life,Administrative Support Assoc
ASU,62,"SEP 07, 2016","Physician AD, Staff Physician",142030.00,Health Services,Staff Physician
ASU,48,"AUG 25, 1997",Library Paraprofessional,45917.00,Library-Collection Dev,University Library Technician
ASU,22,"NOV 30, 2020","Laboratory Professional, Life Sciences, Lab Coordinator",35568.00,Biology,Lab Technician
ASU,49,"MAR 12, 2018",Sales Workers,31200.00,The Market-Trivette,Support Services Associate
ASU,34,"SEP 14, 2015","Retail Operation Professional, Food Service Manager (Unit)",41401.00,Bake Shop,Food Service Manager
ASU,45,"AUG 24, 2010",Associate Professor,76872.00,Leadership & Edu Studies,Assoc Prof/MLS Grad Prgrm Dir
ASU,62,"AUG 15, 1986",Professor,86285.00,School Of Music,Professor
ASU,57,"AUG 15, 1994",Administrative Assistant,31995.00,School Of Music,Administrative Support Assoc
ASU,29,"APR 01, 2019",Teacher / Classroom Professional,31200.00,Child Development Center,Early Childhood Dev Practition
ASU,64,"MAY 21, 2018","Director, Subdivision/Unit/Program AD",104000.00,College Access Partnerships,"Sr.Dir,College Access P'ship"
ASU,42,"APR 15, 2019",Administrative Assistant,40000.00,Turchin Center for the Visual Arts,University Program Specialist
ASU,50,"JUL 01, 2003",Professor,74187.00,History,Professor
ASU,31,"AUG 16, 2008",Assistant Professor,70000.00,Nutrition & Health Care Mgt.,Assistant Professor
ASU,53,"AUG 26, 2008",Associate Professor,65540.00,History,Associate Professor
ASU,60,"JAN 07, 2019",Custodian / Housekeeper,31200.00,Environmental Services,Building & Environmental Tech
ASU,46,"AUG 26, 2008",Allied Health Professional,77000.00,Institute for Health & Human Srvcs,Dir Intprofessional Clinical E
ASU,51,"JUL 28, 2015","Environmental Safety / Risk Management Professional, Specialist",60962.00,"Envronmntl Hlth, Sfty & Emer Mgmt","Envir, Health & Safety Prof"
ASU,52,"AUG 24, 2004",Professor,72116.00,School Of Music,Professor
ASU,56,"MAY 16, 2016",Vice Provost,103094.00,Provost & Exe VC Academic Affairs,Chief Fin Officer Acad Affairs
ASU,56,"MAY 29, 2017",Chief Financial Services Officer,175000.00,Business Affairs Vice Chan,Assoc VC for Finance
ASU,42,"MAY 06, 2019",Library Paraprofessional,44290.00,Library-Materials Processing,University Library Technician
ASU,38,"AUG 19, 2014",Associate Professor,70258.00,Biology,Associate Professor
ASU,44,"AUG 20, 2013",Associate Professor,69044.00,Curriculum & Instruction,Associate Professor
ASU,28,"SEP 30, 2011",IT Client Support Professional,53000.00,Career Development,Technology Support Analyst
ASU,30,"DEC 16, 2008",IT Applications Professional,90979.00,Information Technology Service,Bus & Tech Appl Specialist
ASU,43,"APR 11, 2011",IT Client Support Professional,79496.00,Information Technology Service,Systems Programmer/Analyst
ASU,30,"AUG 16, 2013",Custodian / Housekeeper,31200.00,Environmental Services,Building & Environmental Tech
ASU,52,"AUG 15, 1996","IT Client Support Professional, Specialist",76337.00,Information Technology Service,Technology Suppt Specialist
ASU,64,"JAN 02, 1996",IT Technical Support/Paraprofessional,77639.00,Library-Automation,IT Operations Analyst
ASU,37,"AUG 16, 2016",Assistant Professor,112573.00,Marketing & Supply Chain Mgmt (SCM),Professor
ASU,44,"AUG 22, 2017",Associate Professor,74520.00,Human Dev & Psych Counsel,Assoc Prof/Grad Prg Director
ASU,42,"JUN 29, 2003",Head Coach - Men's Wrestling,81600.00,Athletics Office,Head Wrestling Coach
ASU,37,"AUG 19, 2014",Lecturer,45000.00,Communication,Lecutrer
ASU,38,"AUG 19, 2014",Lecturer,48510.00,Communication,Lecturer/Director of Forensics
ASU,51,"AUG 23, 2005",Vice Provost,175000.00,Provost & Exe VC Academic Affairs,Vice Provost  Faculty Affairs
ASU,46,"AUG 21, 2007",Professor,93894.00,Psychology,Professor
ASU,26,"JUN 15, 2020","Student Housing Professional, Residence Hall Mgr (R&B Included)",37400.00,University Housing-Residence Life,Coordinator
ASU,66,"JUN 16, 2016",Assistant Professor,90060.00,Department of Nursing,Assistant Professor
ASU,59,"MAY 16, 2017",Instructor,2825.00,Applied Design,Adjunct Instructor
ASU,57,"SEP 02, 1986",Lecturer,37001.00,English,Senior Lecturer
ASU,47,"JAN 16, 2018",Student Counseling / Student Health Professional AD,72000.00,Registrar,Bus & Tech Appl Analyst
ASU,64,"NOV 05, 2018",Administrative Assistant,31200.00,Testing Center,Administrative Support Assoc
ASU,66,"NOV 07, 2005",Accounting Professional,74101.00,Controllers Office,Accounting Manager
ASU,53,"MAY 04, 1992",Administrative Assistant,41430.00,College of Health Sciences,Admin Suppt Spec-Records Spec
ASU,49,"OCT 16, 2017",Carpenter (Journeyman),34735.00,University Recreation,Facility Maint Tech - Building
ASU,31,"AUG 10, 2015","Athletics Training Professional, Trainer",35568.00,Special Projects,Assistant Athletic Trainer
ASU,33,"FEB 19, 2018",Head Coach - Strength and Conditioning,135000.00,Special Projects,Asst Athletic Dir Athletic Per
ASU,41,"OCT 01, 2002",Lecturer,45000.00,Art,Assistant Professor
ASU,50,"JAN 15, 1999",Lecturer,39428.00,History,Senior Lecturer
